110	141	167	174	153	174	17	28	$
200	223	40	53	153	166	1	27	$
54	71	168	174	202	223	144	156	$
11	27	153	174	205	223	182	186	$
167	174	202	223	203	223	207	223	$
153	166	200	223	168	174	135	143	$
204	223	125	134	40	53	17	28	$
153	174	42	53	125	132	187	199	$
125	132	153	166	42	53	156	166	$
125	141	125	141	204	223	200	208	$
40	53	29	38	125	134	95	109	$
202	223	209	223	157	174	82	85	$
125	134	11	28	29	37	86	94	$
42	53	125	134	28	37	17	27	$
168	174	125	141	145	156	37	53	$
28	38	133	141	153	174	144	155	$
11	28	205	223	29	36	54	69	$
125	141	205	223	39	57	1	10	$
157	174	157	174	11	27	18	27	$
203	223	133	143	157	180	183	199	$
76	81	1	16	77	81	29	38	$
144	152	1	27	125	141	38	53	$
39	53	95	109	28	36	145	155	$
145	156	77	82	29	38	125	140	$
77	81	82	94	29	38	175	180	$
77	82	83	109	133	141	125	142	$
28	37	29	37	144	152	18	28	$
82	94	144	152	175	180	11	28	$
145	155	11	27	1	16	39	57	$
1	27	83	94	1	27	145	152	$
205	223	135	141	82	94	83	94	$
1	16	39	53	95	109	29	38	$
125	142	38	53	83	94	153	180	$
38	53	175	180	145	155	110	124	$
11	28	217	223	144	156	1	28	$
54	75	125	137	18	27	144	152	$
95	124	1	10	145	152	145	156	$
83	94	11	28	153	156	125	132	$
18	27	77	81	187	201	209	223	$
29	38	203	208	18	28	82	94	$
145	152	145	155	144	155	39	53	$
18	28	110	124	125	140	1	16	$
110	124	145	156	153	180	31	37	$
29	36	18	28	37	53	125	134	$
95	109	29	36	17	27	217	223	$
144	156	125	143	38	53	205	223	$
54	69	86	94	110	124	28	37	$
83	109	18	27	187	199	125	141	$
187	201	143	152	182	186	187	204	$
153	156	145	152	1	28	28	36	$
58	75	37	53	37	41	29	36	$
37	53	153	156	200	206	202	223	$
39	51	1	17	1	17	133	141	$
17	27	1	28	11	28	42	53	$
157	166	144	156	38	57	77	82	$
187	199	38	51	38	57	125	134	$
125	140	187	199	54	69	157	174	$
38	75	183	199	86	94	40	53	$
39	75	17	27	200	223	153	174	$
144	155	125	140	167	174	204	223	$
181	199	28	38	204	223	168	174	$
125	143	182	186	153	166	153	166	$
1	17	17	28	40	53	28	38	$
86	94	17	28	28	38	203	223	$
17	28	187	201	29	38	11	27	$
17	28	181	199	153	174	167	174	$
125	132	39	57	125	134	110	132	$
77	82	76	81	135	142	187	201	$
83	109	54	69	54	69	182	186	$
11	28	181	199	168	174	181	199	$
1	10	125	142	11	27	187	201	$
181	199	155	174	110	134	187	199	$
187	204	39	57	202	223	54	69	$
167	174	125	143	125	141	155	174	$
42	53	125	143	28	37	187	199	$
168	174	76	81	42	53	187	201	$
125	134	54	69	205	223	54	69	$
77	82	39	57	28	36	187	201	$
125	134	1	28	135	143	77	82	$
76	82			125	132	187	199	$
110	124			83	109	82	87	$
29	38			95	109	167	174	$
153	174			125	141	28	36	$
110	141			82	94	29	38	$
76	81			157	166	168	174	$
125	141			77	82	28	37	$
125	140			144	152	153	166	$
40	53			39	53	28	38	$
54	71			29	37	133	141	$
133	141			133	141	125	134	$
145	152			203	223	77	82	$
39	53			110	124	153	174	$
157	174			153	166	125	132	$
175	180			145	156	142	152	$
200	223			125	142	217	223	$
18	28			95	124	135	141	$
18	27			135	141	145	156	$
144	152			77	81	144	152	$
205	223			37	53	31	37	$
17	27			83	94	125	134	$
38	53			95	124	29	36	$
153	166			144	154	77	81	$
58	75			187	201	135	143	$
145	156			145	152	175	180	$
156	174			207	223	18	28	$
153	156			1	10	144	155	$
187	199			1	10	29	37	$
167	174			200	208	145	152	$
125	134			39	57	157	174	$
133	141			145	155	145	155	$
76	82			18	27	1	10	$
157	166			38	53	39	53	$
153	166			144	155	144	156	$
168	174			157	174	153	157	$
76	81			17	27	38	53	$
144	152			82	85	31	38	$
29	38			29	36	1	11	$
29	37			217	223	18	27	$
153	174			18	28	182	186	$
135	141			209	223	37	53	$
125	132			38	51	141	144	$
77	82			86	94	1	16	$
175	180			125	140	200	208	$
145	156			17	28	205	223	$
42	53			17	28	117	124	$
145	152			144	156	200	223	$
18	27			157	180	82	94	$
18	28			187	199	200	223	$
156	174			98	124	82	94	$
125	134			182	186	205	223	$
29	36			39	51	155	174	$
157	174			11	28	117	124	$
54	75			38	53	153	166	$
153	156			125	132	167	174	$
167	174			54	75	125	134	$
133	141			54	69	202	223	$
125	134			155	174	135	141	$
28	37					29	38	$
29	38					1	10	$
28	36					168	174	$
145	156					153	156	$
77	82					145	156	$
168	174					29	37	$
28	38					175	180	$
157	166					133	141	$
76	81					77	81	$
135	141					18	27	$
144	152					157	174	$
175	180					42	53	$
205	223					38	53	$
153	174					77	82	$
18	28					144	152	$
145	152					18	28	$
142	152					82	94	$
144	156					11	16	$
157	174					145	152	$
156	174					40	53	$
1	10					203	223	$
135	143					17	28	$
52	75					167	174	$
29	37					168	174	$
125	134					153	166	$
82	85					77	82	$
153	156					133	141	$
38	53					125	132	$
1	17					125	134	$
143	152					29	38	$
203	223					144	152	$
183	186					145	156	$
83	94					135	141	$
83	109					145	152	$
76	82					157	174	$
153	174					18	28	$
205	223					153	156	$
28	36					37	53	$
52	75					42	53	$
145	152					38	53	$
175	180					18	27	$
167	174					182	186	$
142	152					77	81	$
144	156					39	53	$
1	16					40	53	$
125	134					167	174	$
157	174					168	174	$
153	156					153	174	$
18	28					28	38	$
1	10					153	166	$
39	53					125	134	$
29	37					29	38	$
						135	141	$
						145	155	$
						28	37	$
						29	37	$
						144	152	$
						29	36	$
						77	82	$
						133	141	$
						42	53	$
						77	81	$
						157	174	$
						18	28	$
						135	143	$
						175	180	$
						145	152	$
						1	10	$
						39	53	$
						144	155	$
						125	134	$
						144	156	$
						1	11	$
						153	156	$
						38	53	$
						40	53	$
						17	28	$
						200	223	$
						11	28	$
						11	27	$
						110	141	$
						110	124	$
						83	124	$
						95	124	$
						83	124	$
						110	124	$
						110	141	$
